front,back
How do you use dual numbers for differentiation: ,"Dual numbers are just things that square to zero I think (think of an infinitesimal).
So to get derivative, just plug in x + dual epsilon, then expand out result, and take linear term. "
How is a double formatted in C? (same as a float in python) ,"64 bits of information. 
1 bit sign, 11 bits exponent, 52 bit mantissa. 
Extracting the number is: sign * mantissa * 2^(exponent)"
Which differentiation method is inherently prone to rounding errors? ,"Numerical differentiation, as opposed to symbolic differentiation "
When is a set of data considered linearly separable? ,When there is hyperplane that can correctly classify everything into two classes. 
"Describe the relation between autoregressive models, flow models, and latent variable models in 1 sentence.","Autoregressive models are general prediction models
Flow models can handle continuous data and disentangle the latent space
Latent variable models compress the latent space to enhance inference. "
"In CS294 (Berkeley) - Deep Unsupervised learning, what is the relation between VAE, VQ-VAE, and PixelVAE?","VAE is the basic architecture. 
VQ-VAE is introducing a more realistic (categorical) latent space.
PixelVAE uses an autoregressive model in the decoder to improve the local structure generation. "
"In CS294 (Berkeley) - Deep Unsupervised learning, what is the relation between flow models and latent variable models? What are latent variable models trying to address?","Latent variable models, like VAEs, try to compress the latent space compared to flow models (which maintain dimensionality). 
This is expected to be a more efficient representation for inference (rather than just sampling) "
"In CS294 (Berkeley) - Deep Unsupervised learning, what is the relation between autoregressive models and flow models? What are flow models trying to address?","They can handle continuous spaces.
They can find disentangled representations of latent variables (because the prior is assumed to be disentangled). "
What were the topics of the first 3 major lectures in CS294 (Berkeley) - Deep Unsupervised learning?,"Autoregressive models (eg. Transformers)
Flow models (eg. Glow)
Latent variable models (eg. VAEs) "
"Of the things I have learned about mechanistic interpretability, what two major categories can they be divided into? ","Interpretability of basic network structure and information flow
Interpretability of transformers "
List a few of the major results in mechanistic interpretability relating to transformers ,"Induction head formation from Anthropic. Also transformer structure interpretation from anthropic 
Grokking process and formation/ablation of generalization circuit
Factual association and editing in models (ROME) "
List a few of the major results in mechanistic interpretability relating to the basic structure of networks ,"Circuits for vision models, hierarchy, and building blocks 
Toy model of superposition from Anthropic "
